"sample_id","species_num","date","season","site","native_or_non","sampling","plant_species","time","bee_species","sex","parasitic","nesting","nonnative_bee"
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Augochlorella aurata","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Agapostemon texanus","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Andrena carlini","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Andrena perplexa","m",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Apis mellifera","f",false,"hive",true
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Lasioglossum tegulare","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Lasioglossum pectorale","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Lasioglossum pilosum","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Lasioglossum cressonii","f",false,"wood",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Lasioglossum trigeminum","f",false,"ground",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Osmia pumila","m",false,"wood",false
17400,23,"2017-04-18T00:00:00.000","early.season","A","native","pan traps","None",935,"Andrena miserabilis","m",false,"ground",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Lasioglossum versatum","f",false,"ground",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Osmia pumila","m",false,"wood",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Halictus poeyi/ligatus","f",false,"ground",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Osmia atriventris","m",false,"wood",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Nomada bidentate_group","m",true,"parasite [ground]",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Agapostemon texanus","f",false,"ground",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Osmia bucephala","m",false,"wood",false
17401,20,"2017-04-18T00:00:00.000","early.season","A","non-native","pan traps","None",935,"Apis mellifera","f",false,"hive",true
